Государственный регистрационный номер выпуска,Эмитент,Цена (в процентах от номинала) одной ценной бумаги,"Cтоимость одной ценной бумаги,  определенная в порядке,  установленном Банком России (руб.)","Поправочный коэффициент, установленный Банком России",ISIN,Дата погашения*
4B02-06-35992-H-001P,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ТРАНСМАШХОЛДИНГ""",969900,9699,09,RU000A1038D4,04.06.2026
4B02-02-55465-E-001P,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ФЕДЕРАЛЬНАЯ ПАССАЖИРСКАЯ КОМПАНИЯ""",999500,9995,095,RU000A0ZYLF7,14.12.2022
4B02-03-55465-E-001P,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ФЕДЕРАЛЬНАЯ ПАССАЖИРСКАЯ КОМПАНИЯ""",971100,9711,095,RU000A0ZYX69,22.02.2028
4B02-04-55465-E-001P,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ФЕДЕРАЛЬНАЯ ПАССАЖИРСКАЯ КОМПАНИЯ""",1001800,"1 001,8",095,RU000A0ZZRK1,17.10.2028
4B02-05-55465-E-001P,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ФЕДЕРАЛЬНАЯ ПАССАЖИРСКАЯ КОМПАНИЯ""",1008400,"1 008,4",095,RU000A0ZZTL5,01.11.2028
4B02-06-55465-E-001P,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ФЕДЕРАЛЬНАЯ ПАССАЖИРСКАЯ КОМПАНИЯ""",1001500,"1 001,5",095,RU000A100E88,18.05.2029
4B02-07-55465-E-001P,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ФЕДЕРАЛЬНАЯ ПАССАЖИРСКАЯ КОМПАНИЯ""",939900,9399,095,RU000A1012B3,02.11.2029
4-02-25642-H,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ХОЛДИНГОВАЯ КОМПАНИЯ ""МЕТАЛЛОИНВЕСТ""",997500,9975,09,RU000A0JTLJ3,26.01.2023
4-03-25642-H,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ХОЛДИНГОВАЯ КОМПАНИЯ ""МЕТАЛЛОИНВЕСТ""",998000,998,09,RU000A0JTLL9,26.01.2023
4-08-25642-H,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ХОЛДИНГОВАЯ КОМПАНИЯ ""МЕТАЛЛОИНВЕСТ""",847500,"51 822,84525",09,RU000A105A04,22.10.2028
4B02-03-25642-H,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ХОЛДИНГОВАЯ КОМПАНИЯ ""МЕТАЛЛОИНВЕСТ""",935500,9355,09,RU000A100YF3,09.10.2029
4B02-04-25642-H,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ХОЛДИНГОВАЯ КОМПАНИЯ ""МЕТАЛЛОИНВЕСТ""",930300,9303,09,RU000A101EF3,29.01.2030
4B02-10-25642-H,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ХОЛДИНГОВАЯ КОМПАНИЯ ""МЕТАЛЛОИНВЕСТ""",914000,914,09,RU000A101R90,22.05.2030
4B02-01-12414-F-001P,"АКЦИОНЕРНОЕ ОБЩЕСТВО ХОЛДИНГОВАЯ КОМПАНИЯ ""НОВОТРАНС""",977800,9778,09,RU000A1014S3,28.02.2023
4B02-02-12414-F-001P,"АКЦИОНЕРНОЕ ОБЩЕСТВО ХОЛДИНГОВАЯ КОМПАНИЯ ""НОВОТРАНС""",957000,957,09,RU000A103133,17.07.2024
4B02-01-82416-H-001P,"АО ""АВТОБАН-ФИНАНС""",1003200,"1 003,2",08,RU000A0JXQ51,18.04.2024
4B02-02-12310-A,"АО ""ВЕРТОЛЕТЫ РОССИИ""",990900,9909,095,RU000A0JUAT3,15.11.2023
4B02-03-12310-A,"АО ""ВЕРТОЛЕТЫ РОССИИ""",832350,83235,095,RU000A0ZYMN9,15.12.2027
4B02-04-43801-H,"АО ""ВЭБ-ЛИЗИНГ""",1010000,1 010,095,RU000A0JV8D0,30.01.2025
4B02-06-43801-H,"АО ""ВЭБ-ЛИЗИНГ""",980800,9808,095,RU000A0JV9D8,17.02.2025
4B02-01-32432-H-002P,"АО ""ГТЛК""",944100,9441,09,RU000A102VR0,29.02.2036
4B02-03-32432-H-001P,"АО ""ГТЛК""",1010400,"1 010,4",09,RU000A0JXE06,21.01.2032
4B02-04-32432-H,"АО ""ГТЛК""",983500,9835,09,RU000A0JVA10,05.03.2025
4B02-04-32432-H-001P,"АО ""ГТЛК""",999900,9999,09,RU000A0JXPG2,05.04.2032
4B02-05-32432-H,"АО ""ГТЛК""",1012300,"1 012,3",09,RU000A0JVWD9,16.10.2025
4B02-06-32432-H,"АО ""ГТЛК""",1033600,"1 033,6",09,RU000A0JVWJ6,17.10.2025
4B02-07-32432-H,"АО ""ГТЛК""",999700,9997,09,RU000A0JW1P8,15.12.2025
4B02-07-32432-H-001P,"АО ""ГТЛК""",998000,998,09,RU000A0ZYNY4,30.12.2032
4B02-08-32432-H,"АО ""ГТЛК""",957000,957,09,RU000A0JWST1,31.08.2026
4B02-08-32432-H-001P,"АО ""ГТЛК""",1018600,"1 018,6",09,RU000A0ZYR91,17.01.2033
4B02-09-32432-H-001P,"АО ""ГТЛК""",939900,9399,09,RU000A0ZZ1J8,17.03.2033
4B02-10-32432-H-001P,"АО ""ГТЛК""",1062600,"1 062,6",09,RU000A0ZZ984,19.05.2033
4B02-12-32432-H-001P,"АО ""ГТЛК""",947800,9478,09,RU000A0ZZV11,03.11.2033
4B02-13-32432-H-001P,"АО ""ГТЛК""",973800,9738,09,RU000A1003A4,19.01.2034
4B02-14-32432-H-001P,"АО ""ГТЛК""",1000600,"1 000,6",09,RU000A100FE5,24.05.2034
4B02-15-32432-H-001P,"АО ""ГТЛК""",947700,56862,09,RU000A100Z91,23.10.2023
4B02-16-32432-H-001P,"АО ""ГТЛК""",911800,68385,09,RU000A101GD3,22.02.2023
4B02-17-32432-H-001P,"АО ""ГТЛК""",892700,8927,09,RU000A101QL5,11.05.2035
4B02-18-32432-H-001P,"АО ""ГТЛК""",898500,8985,09,RU000A101SC0,22.05.2035
4B02-19-32432-H-001P,"АО ""ГТЛК""",910500,9105,09,RU000A101SD8,22.05.2035
4B02-20-32432-H-001P,"АО ""ГТЛК""",955500,9555,09,RU000A1038M5,27.05.2036
4-01-14045-A,"АО ""ОДК""",1115800,"1 115,8",08,RU000A0JWK74,09.06.2026
4-01-03924-J,"АО ""ПКТ""",885700,8857,09,RU000A0JW0S4,08.12.2025
4-02-03924-J,"АО ""ПКТ""",713400,7134,09,RU000A0JW5E3,05.02.2026
4-03-03924-J,"АО ""ПКТ""",889900,8899,09,RU000A0JWBP5,17.03.2026
4B02-01-16643-A-002P,"АО ""ПОЧТА РОССИИ""",1076000,1 076,095,RU000A104V75,25.05.2032
4B02-02-00005-T-001P,"АО ""ПОЧТА РОССИИ""",973700,9737,095,RU000A0JXRD5,07.05.2027
4B02-02-16643-A-002P,"АО ""ПОЧТА РОССИИ""",1030800,"1 030,8",095,RU000A104W17,07.06.2032
4B02-03-00005-T,"АО ""ПОЧТА РОССИИ""",997800,9978,095,RU000A0JWTL6,09.09.2026
4B02-03-00005-T-001P,"АО ""ПОЧТА РОССИИ""",989400,9894,095,RU000A0JXS59,18.05.2027
4B02-03-16643-A-002P,"АО ""ПОЧТА РОССИИ""",1024300,"1 024,3",095,RU000A104W33,07.06.2032
4B02-04-00005-T,"АО ""ПОЧТА РОССИИ""",966800,9668,095,RU000A0JXMP0,19.03.2027
4B02-04-00005-T-001P,"АО ""ПОЧТА РОССИИ""",995900,9959,095,RU000A0ZZ5H3,21.04.2028
4B02-04-16643-A-002P,"АО ""ПОЧТА РОССИИ""",979000,979,095,RU000A1055Y4,25.08.2032
4B02-05-00005-T-001P,"АО ""ПОЧТА РОССИИ""",996800,9968,095,RU000A0ZZ5J9,21.04.2028
4B02-06-00005-T-001P,"АО ""ПОЧТА РОССИИ""",997200,9972,095,RU000A100SZ3,22.08.2029
4B02-07-00005-T-001P,"АО ""ПОЧТА РОССИИ""",1002100,"1 002,1",095,RU000A1008Y3,26.03.2029
4B02-08-00005-T-001P,"АО ""ПОЧТА РОССИИ""",984200,9842,095,RU000A100UT2,10.09.2029
4B02-10-16643-A-001P,"АО ""ПОЧТА РОССИИ""",948300,9483,095,RU000A101ZH4,22.07.2030
4B02-03-00182-A-001P,"АО ""ЧТПЗ""",1007300,"1 007,3",09,RU000A0JXME4,20.03.2024
4B02-04-00182-A-001P,"АО ""ЧТПЗ""",984100,9841,09,RU000A0JXTY7,07.06.2027
4B02-06-00182-A-001P,"АО ""ЧТПЗ""",977500,9775,09,RU000A102F85,27.11.2023
4B02-04-31153-H-001P,АО «МХК «ЕВРОХИМ»,999000,999,09,RU000A100LS3,17.01.2023
4B02-05-31153-H-001P,АО «МХК «ЕВРОХИМ»,995000,995,09,RU000A100LV7,18.07.2023
4B02-06-31153-H-001P,АО «МХК «ЕВРОХИМ»,998600,9986,09,RU000A100RG5,17.08.2023
4B02-08-31153-H-001P,АО «МХК «ЕВРОХИМ»,976200,9762,09,RU000A101LJ0,14.04.2025
4-24-00004-T,"ГК ""БАНК РАЗВИТИЯ И ВНЕШНЕЭКОНОМИЧЕСКОЙ ДЕЯТЕЛЬНОСТИ (ВНЕШЭКОНОМБАНК)""",986900,9869,095,RU000A0JT6B2,23.09.2032
4-26-00004-T,"ГК ""БАНК РАЗВИТИЯ И ВНЕШНЕЭКОНОМИЧЕСКОЙ ДЕЯТЕЛЬНОСТИ (ВНЕШЭКОНОМБАНК)""",1006800,"1 006,8",095,RU000A0JS4Z7,17.02.2032
4B02-08-00004-T-001P,"ГК ""БАНК РАЗВИТИЯ И ВНЕШНЕЭКОНОМИЧЕСКОЙ ДЕЯТЕЛЬНОСТИ (ВНЕШЭКОНОМБАНК)""",985341,"60 251,5329339",095,RU000A0JXU48,14.12.2022
4B02-01-00011-T-002P,"ГОСУДАРСТВЕННАЯ КОМПАНИЯ ""РОССИЙСКИЕ АВТОМОБИЛЬНЫЕ ДОРОГИ""",998800,9988,095,RU000A100030,21.12.2022
4B02-01-00011-T-004P,"ГОСУДАРСТВЕННАЯ КОМПАНИЯ ""РОССИЙСКИЕ АВТОМОБИЛЬНЫЕ ДОРОГИ""",960000,960,095,RU000A103NU9,07.09.2026
4B02-02-00011-T-003P,"ГОСУДАРСТВЕННАЯ КОМПАНИЯ ""РОССИЙСКИЕ АВТОМОБИЛЬНЫЕ ДОРОГИ""",1024600,"1 024,6",095,RU000A104XR2,30.06.2027
4B02-05-00011-T-002P,"ГОСУДАРСТВЕННАЯ КОМПАНИЯ ""РОССИЙСКИЕ АВТОМОБИЛЬНЫЕ ДОРОГИ""",999000,8991,095,RU000A1017H9,20.12.2022
4B02-05-00011-T-004P,"ГОСУДАРСТВЕННАЯ КОМПАНИЯ ""РОССИЙСКИЕ АВТОМОБИЛЬНЫЕ ДОРОГИ""",1007900,"1 007,9",095,RU000A104KT5,20.02.2023
4B02-01-00004-T-002P,"ГОСУДАРСТВЕННАЯ КОРПОРАЦИЯ РАЗВИТИЯ ""ВЭБ.РФ""",1001100,"1 001,1",095,RU000A1042W6,17.10.2028
4B02-02-00004-T-002P,"ГОСУДАРСТВЕННАЯ КОРПОРАЦИЯ РАЗВИТИЯ ""ВЭБ.РФ""",1013100,"1 013,1",095,RU000A104Z48,14.07.2027
4B02-127-00004-T-001P,"ГОСУДАРСТВЕННАЯ КОРПОРАЦИЯ РАЗВИТИЯ ""ВЭБ.РФ""",1000000,1 000,095,RU000A102YN3,22.12.2022
4B02-177-00004-T-001P,"ГОСУДАРСТВЕННАЯ КОРПОРАЦИЯ РАЗВИТИЯ ""ВЭБ.РФ""",1000000,1 000,095,RU000A100GY1,21.06.2023
4B02-227-00004-T-001P,"ГОСУДАРСТВЕННАЯ КОРПОРАЦИЯ РАЗВИТИЯ ""ВЭБ.РФ""",940200,9402,095,RU000A1013P1,16.11.2026
4B02-290-00004-T-001P,"ГОСУДАРСТВЕННАЯ КОРПОРАЦИЯ РАЗВИТИЯ ""ВЭБ.РФ""",892000,892,095,RU000A101TB0,09.06.2027
4B02-292-00004-T-001P,"ГОСУДАРСТВЕННАЯ КОРПОРАЦИЯ РАЗВИТИЯ ""ВЭБ.РФ""",983600,9836,095,RU000A101WF5,20.07.2023
4B02-303-00004-T-001P,"ГОСУДАРСТВЕННАЯ КОРПОРАЦИЯ РАЗВИТИЯ ""ВЭБ.РФ""",974900,9749,095,RU000A102FC5,04.12.2023
4B02-316-00004-T-001P,"ГОСУДАРСТВЕННАЯ КОРПОРАЦИЯ РАЗВИТИЯ ""ВЭБ.РФ""",952600,"58 249,48954",09,RU000A102K96,16.12.2025
4B02-334-00004-T-001P,"ГОСУДАРСТВЕННАЯ КОРПОРАЦИЯ РАЗВИТИЯ ""ВЭБ.РФ""",952000,952,095,RU000A1031U3,17.04.2028
4B02-367-00004-T-001P,"ГОСУДАРСТВЕННАЯ КОРПОРАЦИЯ РАЗВИТИЯ ""ВЭБ.РФ""",961442,"58 790,1592718",09,RU000A103FY7,22.07.2026
4B02-429-00004-T-001P,"ГОСУДАРСТВЕННАЯ КОРПОРАЦИЯ РАЗВИТИЯ ""ВЭБ.РФ""",1001800,"1 001,8",095,RU000A104HU9,13.02.2023
4B02-01-36383-R-002P,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЕВРАЗХОЛДИНГ ФИНАНС""",985500,9855,09,RU000A100P85,26.07.2024
4B02-02-00464-R-001P,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ПИК-КОРПОРАЦИЯ""",974300,9743,08,RU000A1016Z3,13.06.2023
4B02-03-00464-R-001P,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ПИК-КОРПОРАЦИЯ""",996100,9961,08,RU000A1026C1,28.03.2023
4B02-04-00464-R-001P,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ПИК-КОРПОРАЦИЯ""",992300,9923,08,RU000A103C46,29.06.2023
4B02-01-36419-R,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""РЕСО-ЛИЗИНГ""",990275,990275,09,RU000A0JU6M6,20.09.2023
4B02-01-36419-R-001P,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""РЕСО-ЛИЗИНГ""",933000,933,09,RU000A1035H1,16.05.2031
4B02-03-36419-R-001P,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""РЕСО-ЛИЗИНГ""",1014900,"1 014,9",09,RU000A101ST4,07.06.2023
4B02-04-36419-R,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""РЕСО-ЛИЗИНГ""",983738,983738,09,RU000A0JVXS5,29.10.2025
4B02-05-36419-R,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""РЕСО-ЛИЗИНГ""",944400,9444,09,RU000A0JWVT5,01.10.2026
4B02-05-36419-R-001P,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""РЕСО-ЛИЗИНГ""",947200,9472,09,RU000A100NS9,27.08.2025
4B02-06-36419-R-001P,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""РЕСО-ЛИЗИНГ""",990400,9904,09,RU000A100PE4,31.07.2023
4B02-07-36419-R-001P,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""РЕСО-ЛИЗИНГ""",977300,9773,09,RU000A100XU4,10.10.2024
4B02-08-36419-R-001P,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""РЕСО-ЛИЗИНГ""",963100,9631,09,RU000A102K39,06.12.2030
4-01-36388-R,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СЕВЕРО-ЗАПАДНАЯ КОНЦЕССИОННАЯ КОМПАНИЯ""",999800,7978404,08,RU000A0JRU20,29.03.2023
4-02-36388-R,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СЕВЕРО-ЗАПАДНАЯ КОНЦЕССИОННАЯ КОМПАНИЯ""",999900,7979202,08,RU000A0JRU46,29.03.2023
4B02-03-36442-R-001P,"ООО ""БАЛТИЙСКИЙ ЛИЗИНГ""",972500,8509375,09,RU000A101Z66,26.01.2023
4B02-04-36442-R-001P,"ООО ""БАЛТИЙСКИЙ ЛИЗИНГ""",977800,9778,09,RU000A103M10,26.05.2023
4B02-03-36403-R-001P,"ООО ""БКЕ""",996100,9961,09,RU000A100G03,16.06.2023
4-01-36400-R-003P,"ООО ""ГАЗПРОМ КАПИТАЛ""",1095365,"66 979,2694835",09,RU000A105A95,28.04.2034
4-02-36400-R-003P,"ООО ""ГАЗПРОМ КАПИТАЛ""",976288,"62 314,4128352",09,RU000A105BL8,17.11.2023
4-03-36400-R-001P,"ООО ""ГАЗПРОМ КАПИТАЛ""",968400,4 842 000,09,RU000A103QN7,30.12.9999
4-03-36400-R-003P,"ООО ""ГАЗПРОМ КАПИТАЛ""",780265,"49 802,6763935",09,RU000A105BY1,17.11.2028
4-04-36400-R-003P,"ООО ""ГАЗПРОМ КАПИТАЛ""",927877,"59 224,4403683",09,RU000A105C51,22.11.2024
4-07-36400-R,"ООО ""ГАЗПРОМ КАПИТАЛ""",1010000,"61 759,379",09,RU000A1056U0,23.03.2027
4B02-01-36400-R,"ООО ""ГАЗПРОМ КАПИТАЛ""",960500,9605,095,RU000A0ZYUV5,14.02.2028
4B02-02-36400-R,"ООО ""ГАЗПРОМ КАПИТАЛ""",984000,984,095,RU000A0ZYUW3,14.02.2028
4B02-02-36400-R-001P,"ООО ""ГАЗПРОМ КАПИТАЛ""",989900,9899,095,RU000A100LL8,10.07.2024
4B02-03-36400-R,"ООО ""ГАЗПРОМ КАПИТАЛ""",967600,9676,095,RU000A0ZYUY9,14.02.2028
4B02-03-36400-R-001P,"ООО ""ГАЗПРОМ КАПИТАЛ""",928100,9281,095,RU000A101QM3,26.05.2025
4B02-04-36400-R,"ООО ""ГАЗПРОМ КАПИТАЛ""",965100,9651,095,RU000A0ZYV04,14.02.2028
4B02-04-36400-R-001P,"ООО ""ГАЗПРОМ КАПИТАЛ""",882800,8828,095,RU000A101QN1,24.05.2027
4B02-05-36400-R,"ООО ""ГАЗПРОМ КАПИТАЛ""",1002500,"1 002,5",095,RU000A0JXFS8,02.02.2027
4B02-01-36241-R-001P,"ООО ""ИКС 5 ФИНАНС""",1023495,"1 023,495",09,RU000A0JWUD1,10.09.2031
4B02-01-36241-R-002P,"ООО ""ИКС 5 ФИНАНС""",982900,9829,09,RU000A103N76,19.08.2036
4B02-03-36241-R-001P,"ООО ""ИКС 5 ФИНАНС""",974900,9749,09,RU000A0ZZ083,07.03.2033
4B02-12-36241-R-001P,"ООО ""ИКС 5 ФИНАНС""",986000,986,09,RU000A101UQ6,11.06.2035
4B02-02-00443-R-001P,"ООО ""ЛАЛ-1520""",981667,711708575,09,RU000A101D54,26.01.2023
4B02-04-36420-R-001P,"ООО ""ЛЕНТА""",989100,9891,09,RU000A101R33,30.05.2023
4B02-03-36393-R-001P,"ООО ""СУЭК - ФИНАНС""",996100,9961,09,RU000A100VG7,12.09.2029
4B02-04-36393-R-001P,"ООО ""СУЭК - ФИНАНС""",994900,9949,09,RU000A100Y50,05.10.2029
4B02-05-36393-R-001P,"ООО ""СУЭК - ФИНАНС""",948700,9487,09,RU000A101CQ4,15.01.2030
4B02-06-36393-R-001P,"ООО ""СУЭК - ФИНАНС""",965100,9651,09,RU000A102986,09.10.2030
4B02-05-32432-H-001P,"ОТКРЫТОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""ГОСУДАРСТВЕННАЯ ТРАНСПОРТНАЯ ЛИЗИНГОВАЯ КОМПАНИЯ""",987427,"19 623,2034223225",085,RU000A0JY023,21.02.2023
4B02-04-32501-D,"ОТКРЫТОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""МЕЖРЕГИОНАЛЬНАЯ РАСПРЕДЕЛИТЕЛЬНАЯ СЕТЕВАЯ КОМПАНИЯ УРАЛА""",984000,984,095,RU000A100ZD5,16.10.2029
4-02-65045-D-001P,"ОТКРЫТОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""РОССИЙСКИЕ ЖЕЛЕЗНЫЕ ДОРОГИ""",896300,8963,09,RU000A101Y18,30.12.9999
4-19-65045-D,"ОТКРЫТОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""РОССИЙСКИЕ ЖЕЛЕЗНЫЕ ДОРОГИ""",995100,9951,095,RU000A0JQ7Z2,27.06.2024
4-23-65045-D,"ОТКРЫТОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""РОССИЙСКИЕ ЖЕЛЕЗНЫЕ ДОРОГИ""",986300,9863,095,RU000A0JQRD9,26.12.2024
4-28-65045-D,"ОТКРЫТОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""РОССИЙСКИЕ ЖЕЛЕЗНЫЕ ДОРОГИ""",982200,9822,095,RU000A0JTU85,20.03.2028
4-30-65045-D,"ОТКРЫТОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""РОССИЙСКИЕ ЖЕЛЕЗНЫЕ ДОРОГИ""",973700,9737,095,RU000A0JUAH8,03.11.2028
4-32-65045-D,"ОТКРЫТОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""РОССИЙСКИЕ ЖЕЛЕЗНЫЕ ДОРОГИ""",1010000,1 010,095,RU000A0JSGV0,24.06.2032
4-33-65045-D,"ОТКРЫТОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""РОССИЙСКИЕ ЖЕЛЕЗНЫЕ ДОРОГИ""",1000000,1 000,095,RU000A0JVB19,27.02.2040
4-34-65045-D,"ОТКРЫТОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""РОССИЙСКИЕ ЖЕЛЕЗНЫЕ ДОРОГИ""",1000000,1 000,095,RU000A0JVB27,27.02.2040
4-35-65045-D,"ОТКРЫТОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""РОССИЙСКИЕ ЖЕЛЕЗНЫЕ ДОРОГИ""",1000000,1 000,095,RU000A0JVKH5,29.05.2040
4-36-65045-D,"ОТКРЫТОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""РОССИЙСКИЕ ЖЕЛЕЗНЫЕ ДОРОГИ""",1000900,"1 000,9",095,RU000A0JVY04,12.10.2040
4-41-65045-D,"ОТКРЫТОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""РОССИЙСКИЕ ЖЕЛЕЗНЫЕ ДОРОГИ""",1000000,1 000,095,RU000A0JX1S1,26.11.2031
4B02-01-65045-D-001P,"ОТКРЫТОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""РОССИЙСКИЕ ЖЕЛЕЗНЫЕ ДОРОГИ""",1003300,"1 003,3",095,RU000A0JXN05,17.05.2032
4B02-02-65045-D,"ОТКРЫТОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""РОССИЙСКИЕ ЖЕЛЕЗНЫЕ ДОРОГИ""",1007000,1 007,095,RU000A0JVW71,07.10.2025
4B02-02-65045-D-001P,"ОТКРЫТОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""РОССИЙСКИЕ ЖЕЛЕЗНЫЕ ДОРОГИ""",987000,987,095,RU000A0JXQ44,01.04.2037
4B02-03-65045-D-001P,"ОТКРЫТОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""РОССИЙСКИЕ ЖЕЛЕЗНЫЕ ДОРОГИ""",985900,9859,095,RU000A0JXR84,22.04.2037
4B02-04-65045-D-001P,"ОТКРЫТОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""РОССИЙСКИЕ ЖЕЛЕЗНЫЕ ДОРОГИ""",975700,9757,095,RU000A0JXZB2,28.07.2032
4B02-05-65045-D-001P,"ОТКРЫТОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""РОССИЙСКИЕ ЖЕЛЕЗНЫЕ ДОРОГИ""",954000,954,095,RU000A0ZYU05,31.01.2033
4B02-06-65045-D-001P,"ОТКРЫТОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""РОССИЙСКИЕ ЖЕЛЕЗНЫЕ ДОРОГИ""",994600,9946,095,RU000A0ZZ4P9,01.04.2033
4B02-07-65045-D,"ОТКРЫТОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""РОССИЙСКИЕ ЖЕЛЕЗНЫЕ ДОРОГИ""",962800,9628,095,RU000A0JWC82,16.03.2026
4B02-07-65045-D-001P,"ОТКРЫТОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""РОССИЙСКИЕ ЖЕЛЕЗНЫЕ ДОРОГИ""",971600,9716,095,RU000A0ZZ9R4,25.05.2033
4B02-08-65045-D-001P,"ОТКРЫТОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""РОССИЙСКИЕ ЖЕЛЕЗНЫЕ ДОРОГИ""",1001100,"1 001,1",095,RU000A0ZZGT5,02.08.2028
4B02-09-65045-D-001P,"ОТКРЫТОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""РОССИЙСКИЕ ЖЕЛЕЗНЫЕ ДОРОГИ""",876080,87608,095,RU000A0ZZRY2,13.10.2033
4B02-12-65045-D-001P,"ОТКРЫТОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""РОССИЙСКИЕ ЖЕЛЕЗНЫЕ ДОРОГИ""",1006100,"1 006,1",095,RU000A1002C2,25.01.2024
4B02-13-65045-D-001P,"ОТКРЫТОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""РОССИЙСКИЕ ЖЕЛЕЗНЫЕ ДОРОГИ""",1001400,"1 001,4",095,RU000A1007Z2,16.03.2029
4B02-14-65045-D-001P,"ОТКРЫТОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""РОССИЙСКИЕ ЖЕЛЕЗНЫЕ ДОРОГИ""",1023400,"1 023,4",095,RU000A1008D7,03.05.2029
4B02-16-65045-D-001P,"ОТКРЫТОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""РОССИЙСКИЕ ЖЕЛЕЗНЫЕ ДОРОГИ""",976100,9761,095,RU000A100HY9,24.06.2026
4B02-17-65045-D,"ОТКРЫТОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""РОССИЙСКИЕ ЖЕЛЕЗНЫЕ ДОРОГИ""",1037100,"1 037,1",095,RU000A0JWHU2,25.04.2041
4B02-17-65045-D-001P,"ОТКРЫТОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""РОССИЙСКИЕ ЖЕЛЕЗНЫЕ ДОРОГИ""",944700,9447,095,RU000A1010M4,31.10.2025
4B02-18-65045-D-001P,"ОТКРЫТОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""РОССИЙСКИЕ ЖЕЛЕЗНЫЕ ДОРОГИ""",997000,997,095,RU000A101H84,19.02.2030
4B02-20-65045-D-001P,"ОТКРЫТОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""РОССИЙСКИЕ ЖЕЛЕЗНЫЕ ДОРОГИ""",935900,9359,095,RU000A101M04,12.03.2027
