Государственный регистрационный номер выпуска,Эмитент,Цена (в процентах от номинала) одной ценной бумаги,"Cтоимость одной ценной бумаги,  определенная в порядке,  установленном Банком России (руб.)","Поправочный коэффициент, установленный Банком России",ISIN,Дата погашения*
4B02-03-00739-A-001P,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ДОМ.РФ""",995500,9955,095,RU000A0ZZ1N0,23.03.2028
4B02-04-00739-A-001P,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ДОМ.РФ""",948054,948054,095,RU000A0ZZ7C0,08.05.2028
4B02-05-00739-A-001P,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ДОМ.РФ""",1002100,"1 002,1",095,RU000A1004W6,15.02.2029
4B02-06-00739-A,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ДОМ.РФ""",943420,94342,095,RU000A0ZYF20,03.11.2050
4B02-06-00739-A-001P,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ДОМ.РФ""",950060,95006,095,RU000A100ET6,11.05.2039
4B02-07-00739-A,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ДОМ.РФ""",1027600,"1 027,6",095,RU000A0ZYF38,03.11.2050
4B02-07-00739-A-001P,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ДОМ.РФ""",954100,9541,095,RU000A101590,10.11.2039
4B02-10-00739-A,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ДОМ.РФ""",978150,97815,095,RU000A0ZYFN3,11.11.2050
4B02-10-00739-A-001P,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ДОМ.РФ""",993300,9933,095,RU000A104ZA3,20.07.2023
4B02-11-00739-A-001P,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ДОМ.РФ""",1000400,"1 000,4",095,RU000A1052E3,06.08.2024
4B02-12-00739-A-001P,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ДОМ.РФ""",1002500,"1 002,5",095,RU000A1055Q0,01.09.2025
Облигации субъектов Российской Федерации и муниципальных образований,Облигации субъектов Российской Федерации и муниципальных образований,Облигации субъектов Российской Федерации и муниципальных образований,Облигации субъектов Российской Федерации и муниципальных образований,Облигации субъектов Российской Федерации и муниципальных образований,Облигации субъектов Российской Федерации и муниципальных образований,
RU34012BEL0,БЕЛГОРОДСКАЯ ОБЛАСТЬ,965800,4829,098,RU000A100PP0,04.08.2023
RU34013BEL0,БЕЛГОРОДСКАЯ ОБЛАСТЬ,982400,4912,098,RU000A100Y84,16.10.2023
RU34014BEL0,БЕЛГОРОДСКАЯ ОБЛАСТЬ,952300,9523,098,RU000A101PA0,18.05.2023
RU34015BEL0,БЕЛГОРОДСКАЯ ОБЛАСТЬ,940900,9409,098,RU000A101RB4,31.05.2023
RU34016BEL0,БЕЛГОРОДСКАЯ ОБЛАСТЬ,950300,627198,098,RU000A1025F6,22.03.2023
RU34003KRA1,ГОРОД КРАСНОДАР,963900,9639,098,RU000A102KT9,20.12.2023
RU34013KRN1,ГОРОД КРАСНОЯРСК,948100,711075,098,RU000A1029G6,19.07.2023
RU35008NSB1,ГОРОД НОВОСИБИРСК,1001200,45054,098,RU000A0JWHW8,23.10.2023
RU35001GSP0,ГОРОД САНКТ-ПЕТЕРБУРГ,989200,9892,098,RU000A0ZYHX8,28.05.2024
RU35003GSP0,ГОРОД САНКТ-ПЕТЕРБУРГ,926300,9263,098,RU000A102A15,16.10.2023
RU35001KAM0,КАМЧАТСКИЙ КРАЙ,1002400,70168,098,RU000A0ZZSW4,10.11.2023
RU35002KEM0,КЕМЕРОВСКАЯ ОБЛАСТЬ,989500,49475,098,RU000A0ZYB40,18.09.2023
RU35001KND0,КРАСНОДАРСКИЙ КРАЙ,999100,69937,098,RU000A0JXYS9,10.08.2023
