Станция метрополитена,Линия,Год,Квартал,Входы пассажиров,Выходы пассажиров
Митино,Арбатско-Покровская линия,2021,I квартал,1913498,1829031
Митино,Арбатско-Покровская линия,2021,II квартал,2119285,1991048
Митино,Арбатско-Покровская линия,2021,III квартал,2077107,1922906
Митино,Арбатско-Покровская линия,2021,IV квартал,2217044,2090460
